exc_nouns,exc_adjs
0.444444444,
0.555555556,
0.555555556,
0.555555556,
0.285714286,
0.428571429,
0.555555556,
0.555555556,
0.555555556,
0.444444444,
0.714285714,
0.555555556,
0.444444444,
0.285714286,
0.714285714,
0.428571429,
0.555555556,
0.555555556,
0.714285714,
0.555555556,
0.571428571,
0.428571429,
0.714285714,
