id,file,normed,cat,word,wordcat,inflected_prop,conc_cat,main,Perceptualstrength,Exclusivity,Auditory,Haptic,Visual,SD_Auditory,SD_Haptic,SD_Visual,freq_lg10CD_SUBTLEXNL,freq_lg10WF_SUBTLEXNL,freq_CELEX_lem,inflected_adj_freq_lg10CD_SUBTLEXNL,AoA_Brysbaertetal2014,concrete_Brysbaertetal2014,known_Brysbaertetal2014,letters,phonemes_DUTCHPOND,orth_neighbours_DUTCHPOND,phon_neighbours_DUTCHPOND,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8,a9,h9,v9,a10,h10,v10,English_Word_Lynott_Connell_2009_2013,English_Main_Lynott_Connell_2009_2013,English_Perceptualstrength_Lynott_Connell_2009_2013,English_Exclusivity_Lynott_Connell_2009_2013,English_Auditory_Lynott_Connell_2009_2013,English_Haptic_Lynott_Connell_2009_2013,English_Visual_Lynott_Connell_2009_2013,English_Letters_Lynott_Connell_2009_2013
15,3,Dut_Eng,Concept,amateur,noun,NA,de,Visual,2.556,0.234,1.333,1.333,2.556,1.414,1.225,1.81,2.33,2.4,0.778,NA,10.22,2.8,100,7,6,1,1,0,2,5,1,0,3,0,0,0,4,3,0,0,0,4,3,3,3,1,1,1,1,2,3,2,1,4,NA,NA,NA,amateur,Visual,2.882,0.424,2.882,0.588,3.588,7
18,2,Dut_Eng,Concept,angst,noun,NA,de,Visual,4.111,0.14,3.556,2.667,4.111,1.74,2.398,0.782,3.24,3.48,2.248,NA,6.95,2.33,100,5,4,2,2,5,5,5,3,0,3,5,5,5,4,5,4,2,0,4,5,1,4,5,5,5,3,3,4,0,0,3,NA,NA,NA,fear,Visual,2.176,0.305,2.176,1.882,3.471,4
21,3,Dut_Eng,Concept,arbeider,noun,NA,de,Visual,3.778,0.225,2,2.111,3.778,1.5,1.833,1.563,2.03,2.14,1.785,NA,9.51,3,100,8,7,1,1,0,5,5,1,0,3,0,0,0,4,4,5,4,0,4,3,3,4,2,2,5,2,3,4,2,2,4,NA,NA,NA,worker,Visual,2.529,0.44,2.529,1.353,4.235,6
25,1,Dut_Eng,Concept,baan,noun,NA,de,Visual,3.429,0.24,2,1.714,3.429,1.528,1.704,0.976,3.48,3.84,1.869,NA,6.78,3.73,100,4,3,13,17,3,4,3,2,3,2,2,0,4,3,3,4,0,0,5,0,0,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,job,Visual,3,0.333,3,1.706,3.588,3
26,3,Dut_Eng,Concept,baas,noun,NA,de,Visual,3.889,0.492,2.667,0.444,3.889,1.5,0.527,1.537,3.51,3.86,1.833,NA,6.5,2.87,100,4,3,16,30,2,0,5,2,0,2,0,0,5,2,1,1,5,0,5,4,0,5,2,1,4,4,1,3,3,1,5,NA,NA,NA,boss,Visual,3.765,0.42,3.765,1.294,4.294,4
27,2,Dut_Eng,Concept,baby,noun,NA,de,Visual,4.222,0.036,4.222,3.778,4.222,1.641,1.787,1.641,3.34,3.82,1.898,NA,4.25,4.67,100,4,4,0,0,5,5,5,0,0,0,5,5,5,4,3,5,5,5,5,4,2,4,5,4,4,5,5,5,5,5,5,NA,NA,NA,baby,Visual,4.235,0.243,4.235,3.647,4.882,4
29,2,Dut_Eng,Concept,balans,noun,NA,de,Visual,3.556,0.162,2.222,2.444,3.556,2.108,2.297,1.878,2.5,2.63,1.146,NA,9.78,2.33,100,6,6,0,0,5,5,5,5,0,5,1,5,2,2,4,3,0,0,2,4,1,5,0,5,5,0,2,0,3,0,5,NA,NA,NA,balance,Visual,1.765,0.398,1.235,1.765,2.941,7
30,2,Dut_Eng,Concept,band,noun,NA,de,Visual,4.111,0.333,1.444,2.444,4.111,1.424,2.128,1.691,3.24,3.54,1.875,NA,7.09,4.27,100,4,4,16,22,0,5,5,3,3,5,3,5,4,2,5,5,0,2,5,2,1,5,0,0,0,0,1,5,3,0,3,NA,NA,NA,band,Auditory,4.588,0.456,4.588,1,4.059,4
31,2,Dut_Eng,Concept,bank,noun,NA,de,Visual,4.889,0.421,0.778,4.111,4.889,1.093,1.691,0.333,3.25,3.6,2.057,NA,5.84,4.47,100,4,4,13,12,0,5,5,0,5,5,1,5,5,1,4,4,0,0,5,2,5,5,0,5,5,0,5,5,3,3,5,NA,NA,NA,bank,Visual,1.294,0.597,1.294,1.235,4.412,4
33,3,Dut_Eng,Concept,basis,noun,NA,de,Visual,2,0.171,1.222,1.333,2,1.787,1.5,2.236,2.95,3.18,2.021,NA,8.91,2.07,100,5,5,1,0,5,0,5,1,1,3,0,0,0,0,2,0,0,4,5,0,3,0,0,0,0,3,2,4,2,0,1,NA,NA,NA,base,Visual,2.25,0.46,1.188,2.25,3.313,4
36,2,Dut_Eng,Concept,beer,noun,NA,de,Visual,4,0.32,3,1.333,4,2.236,1.225,2,2.61,3.05,1.362,NA,4.22,4.93,99.9,4,3,20,10,5,0,5,0,0,0,5,2,5,4,3,5,2,2,5,1,1,1,5,3,5,0,1,5,5,0,5,NA,NA,NA,bear,Visual,3.118,0.322,3.118,2.471,4.471,4
