word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,missing
belasting,2,2,3,3,3,2,3,2,5,0,1,4,0,0,0,5,4,5,0,0,2,0
boete,2,2,3,1,1,2,3,3,5,0,3,4,0,0,5,0,0,0,3,2,3,0
boerderij,5,5,5,2,4,3,0,5,5,3,4,4,0,0,5,0,0,0,4,4,4,0
type,5,5,5,2,3,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0
effect,3,3,4,2,3,2,0,2,3,0,2,4,0,0,0,0,2,5,0,2,4,0
laster,,,,3,3,2,0,1,3,,,,0,0,0,0,0,0,0,3,1,6
spier,5,2,5,3,2,1,5,1,5,4,0,4,0,0,5,5,4,2,4,0,2,0
beneden,1,3,3,3,2,4,0,1,5,0,1,4,0,0,0,0,0,2,0,0,3,0
vergadering,1,4,4,3,3,2,0,3,5,1,4,4,0,5,0,0,1,3,0,4,2,0
vilt,5,2,5,4,2,3,5,1,5,,,,5,0,0,1,0,0,4,1,2,3
sierlijkheid,5,3,5,3,2,3,0,2,3,0,3,4,0,0,0,0,2,3,1,1,4,0
mist,5,2,5,5,4,5,0,0,5,0,0,5,0,0,0,2,0,2,3,0,4,0
bewijs,5,4,5,5,3,3,3,1,2,3,2,5,0,0,5,0,0,4,3,2,4,0
bezit,5,5,5,3,3,3,4,5,3,3,2,5,0,0,0,0,2,5,4,1,3,0
zeep,5,2,5,3,3,2,5,2,5,3,1,4,5,0,5,5,0,5,5,0,2,0
geluid,3,5,2,5,3,4,0,4,0,0,5,0,0,5,0,0,5,0,0,5,0,0
welkom,5,5,5,3,4,2,0,4,3,2,4,4,0,0,0,0,2,3,2,3,3,0
zee,5,5,5,3,4,3,5,3,5,3,3,4,0,0,5,1,1,1,3,4,4,0
nul,2,1,2,2,3,4,0,4,4,0,0,5,0,0,5,0,0,5,0,0,2,0
paar,2,2,4,2,3,3,0,2,3,1,2,4,0,0,5,0,0,4,1,0,2,0
vraag,5,5,4,5,5,5,0,2,3,0,4,2,0,5,0,0,5,5,0,4,2,0
ziekte,4,5,5,3,3,2,2,4,5,1,3,4,0,0,0,5,5,5,1,0,0,0
vliegtuig,3,5,5,4,3,2,5,2,5,3,4,4,5,0,5,0,1,3,4,4,5,0
sirene,1,5,5,3,4,4,0,5,5,0,4,2,0,5,5,0,5,4,0,5,0,0
deken,5,2,5,5,3,4,5,4,5,3,0,4,5,0,5,5,2,5,4,0,3,0
stof,5,2,5,3,3,2,5,3,5,3,0,4,5,0,5,5,1,5,2,0,3,0
opening,4,2,4,5,3,4,0,3,4,2,3,4,0,0,0,0,1,1,1,0,1,0
eigenaar,5,5,5,3,4,2,0,2,5,1,3,4,0,0,0,0,1,5,3,0,3,0
compliment,2,5,5,2,3,5,0,3,2,2,5,0,0,5,0,2,3,3,0,4,0,0
firma,4,3,4,4,3,1,0,5,3,2,3,4,0,0,5,0,0,1,4,0,2,0
team,4,4,4,3,4,3,3,2,5,2,3,4,0,0,5,3,3,5,1,3,3,0
verf,5,3,5,4,3,3,5,2,5,3,0,4,0,0,5,2,0,5,2,0,4,0
kind,5,5,5,5,3,2,5,1,5,3,4,4,0,0,5,1,5,5,4,5,5,0
huur,3,2,3,3,3,3,0,3,5,0,1,4,0,0,0,0,0,3,1,0,0,0
felicitatie,4,4,4,4,3,1,0,4,5,0,5,4,0,5,0,3,1,2,0,4,1,0
herinnering,5,3,3,3,3,3,0,2,1,0,3,2,0,0,0,0,5,5,0,2,0,0
beurs,1,4,3,3,3,2,5,2,5,3,3,4,0,0,0,0,0,0,1,0,0,0
weer,5,5,5,1,2,3,0,1,4,2,2,4,3,0,5,5,1,5,0,2,4,0
pupil,2,0,5,2,3,3,0,2,5,1,0,5,0,0,0,0,0,5,3,0,5,0
uitvinding,5,4,5,5,5,5,4,4,4,3,3,4,0,0,0,0,0,0,4,2,4,0
verhoor,2,5,2,3,3,2,0,2,1,0,5,2,0,0,0,0,1,0,0,5,4,0
zeer,5,4,4,4,3,2,3,4,1,3,3,4,0,0,0,5,3,4,5,0,1,0
aankondiging,2,5,4,3,4,4,0,5,2,0,5,2,0,5,0,0,1,3,0,5,2,0
noodgeval,2,4,3,5,3,4,0,2,3,2,5,4,0,5,0,2,2,3,0,3,1,0
volume,4,5,3,3,2,2,0,5,1,0,5,0,0,5,0,0,5,5,0,5,2,0
contact,5,5,5,3,2,2,5,1,2,3,4,4,0,0,0,5,0,5,5,5,5,0
schrift,5,2,5,3,3,2,5,1,5,4,2,5,0,0,5,0,0,5,2,0,4,0
