word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5
los,2,0,5,0,0,2,2,2,4,3,0,5,0,0,1
klam,4,0,0,3,1,3,5,2,5,5,0,3,2,0,1
mondig,0,5,0,0,4,1,3,5,3,0,4,2,0,2,3
gepatroneerd,3,0,5,,,,2,4,3,,,,0,0,2
smakeloos,0,0,0,0,0,2,2,3,3,2,1,2,0,0,0
weerkaatsend,0,3,5,0,0,3,4,4,4,1,4,4,0,2,0
melodieus,0,5,0,0,5,2,2,3,2,0,5,2,0,4,0
troebel,0,0,5,0,0,4,4,2,5,0,0,5,0,0,4
stomp,4,3,4,0,0,4,3,3,5,5,1,4,0,0,3
hobbelig,5,0,5,2,0,3,5,3,4,4,2,3,0,0,2
hoog,3,0,5,0,0,3,4,1,5,0,0,5,1,0,5
glanzend,0,0,5,0,0,4,2,1,5,0,1,5,0,0,4
borstelig,5,0,5,,,,5,3,5,5,1,3,1,0,2
gigantisch,0,0,5,0,0,5,2,2,4,2,0,5,0,0,5
onmetelijk,0,0,5,,,,2,2,4,3,1,4,0,0,0
rinkelend,0,5,0,0,4,2,5,5,4,0,5,0,0,3,0
slap,5,0,5,2,0,4,5,2,4,4,1,2,2,0,0
